CSD_ID,Season,County,year_group,count,average_level
410614000000000,Spring,HOWARD,201,5,9.97
410651000000000,Spring,SARPY,201,2,101.855
410704000000000,Spring,SAUNDERS,201,1,5.78
410729000000000,Spring,SAUNDERS,201,5,23.36
410742000000000,Spring,POLK,201,5,30.472
410756000000000,Spring,MERRICK,201,5,12.276
410952000000000,Spring,BUTLER,201,1,69.4
410952000000000,Spring,LINCOLN,201,2,54.32
410546000000000,Spring,MERRICK,201,5,6.580008
410546000000000,Spring,SHERMAN,201,5,13.00
410808000000000,Spring,CHEYENNE,201,5,63.374
410926000000000,Spring,HOWARD,201,5,13.476
411123000000000,Spring,SHERMAN,201,5,28.61
411123000000000,Spring,MERRICK,201,4,26.100005
410835000000000,Spring,MERRICK,201,4,5.6300075
411006000000000,Spring,BUTLER,201,5,91.66
411019000000000,Spring,MERRICK,201,5,6.808
410901000000000,Spring,MERRICK,201,5,5.922
410901000000000,Spring,POLK,201,5,24.608
410901000000000,Spring,CHEYENNE,201,5,67.184
411216000000000,Spring,HOWARD,201,5,14.482
411216000000000,Spring,POLK,201,2,117.61
411216000000000,Spring,SAUNDERS,201,5,3.084
411308000000000,Spring,LINCOLN,201,2,3.74
411308000000000,Spring,KEITH,201,1,12.06
411242000000000,Spring,KEITH,201,3,4.546666666666666666666666667
412941000000000,Spring,BANNER,201,15,175.4506666666666666666666667
414245000000000,Spring,BOONE,201,5,34.542
414245000000000,Spring,BURT,201,2,24.205
414245000000000,Spring,MORRILL,201,5,15.108
414245000000000,Spring,VALLEY,201,6,56.58333333333333333333333333
410942000000000,Spring,LINCOLN,201,2,5.94
410942000000000,Spring,POLK,201,5,81.834
410942000000000,Spring,CHEYENNE,201,5,39.794
410903000000000,Spring,CHEYENNE,201,5,14.342
410903000000000,Spring,LINCOLN,201,5,3.72
411034000000000,Spring,CHEYENNE,201,5,41.30
411151000000000,Spring,LINCOLN,201,5,1.86
411507000000000,Spring,MERRICK,201,5,6.302
411349000000000,Spring,MERRICK,201,5,6.59
411349000000000,Spring,KIMBALL,201,4,26.7225
411349000000000,Spring,KEITH,201,10,165.485
411559000000000,Spring,KEITH,201,3,45.42666666666666666666666667
412413000000000,Spring,BANNER,201,5,320.256
412625000000000,Spring,GARDEN,201,4,12.75
412625000000000,Spring,MORRILL,201,10,319.14
411104000000000,Spring,CUSTER,201,5,40.506
404713000000000,Spring,YORK,201,5,128.21
405213000000000,Spring,YORK,201,10,71.067
412704000000000,Spring,NANCE,201,5,125.694
412731000000000,Spring,PLATTE,201,5,11.918
412823000000000,Spring,LOGAN,201,5,11.024
424416000000000,Spring,SHERIDAN,201,5,127.928
412612000000000,Spring,NANCE,201,5,24.372
412612000000000,Spring,BANNER,201,5,181.618
412425000000000,Spring,GREELEY,201,7,9.628571428571428571428571429
412427000000000,Spring,NANCE,201,4,5.405
412638000000000,Spring,MORRILL,201,7,339.1414285714285714285714286
412809000000000,Spring,PLATTE,201,5,12.156
412835000000000,Spring,ARTHUR,201,4,26.9475
412717000000000,Spring,DODGE,201,1,7.6
412902000000000,Spring,Platte,201,2,36.165
412507000000000,Spring,CUSTER,201,5,47.064
412757000000000,Spring,VALLEY,201,5,92.94
412757000000000,Spring,PLATTE,201,5,11.508
412757000000000,Spring,COLFAX,201,5,5.536
413001000000000,Spring,BANNER,201,5,176.534
